# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-23
# séries (tunisia_data) : cnrps-taux-equilibre
# sources (citation) : @cnrps-guides-rapports, @cnrps-etats-financiers, @minfin-remunerations, @minfin-ep-2023, @minfin-ep-2024, @minfin-ep-2025, @bm-1993-social-protection
# fiches : sources/cnrps-publications.md
# méthode/hypothèses : SÉRIE CALCULÉE. DÉNOMINATEUR APPROCHÉ DE 2000 À 2013 : aucune source lue ne donne les cotisations seules avant 2014 ; la masse salariale de l'État (ministère des finances, « Rémunérations publiques ») en tient lieu. Sur 2014-2020, l'assiette tirée des cotisations vaut 0,997 ; 0,992 ; 1,009 ; 0,977 ; 0,974 ; 0,994 ; 0,952 fois cette masse, mais par compensation de périmètres, non par identité : la masse de l'État comprend les contributions patronales, les primes et les rappels, et exclut les collectivités locales et les établissements publics hors budget de l'État, affiliés à la caisse ; le taux employeur passant de 8,2 % à 12,5 % entre 2000 et 2013, rien n'assure que la compensation ait été stable avant 2014. BIAIS CHIFFRÉ EN 2010 : l'approximation donne un salaire moyen de 875,2 D par mois, quand la caisse publie 979,158 D de salaire brut moyen pour ses actifs (guide 2000-2010, p. 49, périmètre non précisé, 423 032 personnes), soit −10,6 % ; appliqué à tous les affiliés, le chiffre publié donnerait un taux d'équilibre de 22,1 % au lieu de 24,8 %. Rien n'est corrigé. Le ratio pensions / cotisants ne dépend pas du dénominateur ; seuls le taux de remplacement apparent et le taux d'équilibre portent l'approximation. 2019-2020 : cotisations RECONSTITUÉES (niveau 2018 + hausses publiées arrondies au million) ; 2020 cumule cette reconstitution et le plus faible recouvrement (0,952). PÉRIMÈTRES : le numérateur couvre l'ensemble des régimes de retraite (régime général, régimes spéciaux, retraites anticipées financées par l'État), seule série continue ; le dénominateur de 2014-2020 ne couvre que le régime général ; la variante de même périmètre (« taux d'équilibre, régime général seul ») est plus basse de 0,9 % (2015) à 2,6 % (2018) selon les années de 2014 à 2020. Le numérateur comprend de petites charges autres que des pensions : allocations familiales, confondues avec les pensions temporaires d'orphelins (1,7 à 2,0 % des dépenses en 2014-2018, borne haute), et remboursements de cotisations (0,01 %). Les effectifs comptent des PENSIONS, non des personnes, en fin d'année, rapportées à des dépenses annuelles. 2016 atypique : des primes spécifiques créées ou revalorisées ont ajouté plus de 110 millions de dinars de cotisations. Le taux d'équilibre est une grandeur comptable instantanée : il ne tient compte ni des autres recettes du régime (péréquation, bonification, rachats, contributions de l'État) ni des réserves. 2021-2023 : ESTIMATIONS, aucune publication de la caisse postérieure à 2020 n'ayant été trouvée. Numérateur = total des charges d'exploitation de la CAISSE ENTIÈRE (ministère des finances, rapport sur les entreprises publiques, LF 2025 ; 2023 provisoire) × part des dépenses du régime de retraite dans ce total, moyenne 2019-2020 (0,951 et 0,958) ; recoupé à 1,5 % près par les ratios charges/produits de la branche des pensions (ministère des affaires sociales), hors le 120,5 % « sans CSS » de 2022, qui contredit les comptes du ministère des finances (+7,4 %). Dénominateur = masse salariale de l'État × 0,952 (rapport de 2020) ; la variante indexée sur les recettes techniques de la caisse, écrite à part, donne 33,9 ; 32,6 ; 33,4 % contre 33,9 ; 33,3 ; 35,7 % : l'écart de 2023 (2,3 points) est la vraie marge d'incertitude, et les deux indexations, rétro-projetées sur 2016-2020, se trompent autant. Effectifs : bénéficiaires de pension et affiliés du ministère, égaux à ceux de la caisse en 2020 ; affiliés trouvés jusqu'en 2021 seulement dans les documents lus. Statut (exécution ou non) des masses salariales 2021-2023 non établi par la source. La pension moyenne implicite baisse de 2021 à 2022 (1 333 à 1 328 D), signe de la fragilité de l'estimation. 1980 ET 1985-1991 : AUTRE SOURCE, SANS RACCORD. Banque mondiale, rapport n° 11376-TUN (1993), annexe statistique, tableaux 3 et 5 (ministère du Plan), série bm1993-caisses ; rien pour 1981-1984 ni pour 1992-1999. Numérateur = pensions versées, prestations familiales servies aux pensionnés comprises (part non publiée : τ* surestimé d'autant, non chiffrable ; le numérateur de 2000-2023 les comprend aussi). Dénominateur = cotisations de pension ÷ 12 % (5 % agent + 7 % employeur, loi n° 74-101, art. 38-39, puis loi n° 85-12, art. 9 et 13 ; 12 % publiés au tableau 6 pour 1991). Jusqu'au 12 septembre 1985, la retenue de l'agent était plafonnée jusqu'à l'indice 250 au montant d'avant 1975 : pour 1980 et 1985, assiette plancher, τ* majorant, salaire moyen minorant. Contrôle : en 1990 et 1991, l'assiette vaut 1,020 et 1,000 fois la masse salariale de l'État, comme en 2014-2020. Effectifs du tableau 5 (pensions ou personnes, non précisé) ; les affiliés actifs bondissent de 61 % de 1980 à 1985 sans explication de la source. τ* : 8,4 % (1980), 9,9 % (1985) à 12,6 % (1991), pour un taux légal de 12 %.
# note : CNRPS : taux de cotisation d'équilibre et taux légal global, 1980-2023
Année,Dénominateur,Taux d'équilibre (%),Taux légal global (%),Écart (points),Remplacement apparent (%),Pensions ÷ cotisants (%),Pension moyenne (D/mois),Salaire moyen (D/mois),Dépenses du régime (MD),Masse soumise à cotisation (MD),"Pensions, toutes natures",Affiliés actifs,"Taux d'équilibre, régime général seul (%)","Taux d'équilibre, variante indexée sur les recettes techniques (%)",Assiette ÷ masse salariale de l'État,Source des dépenses,Source du dénominateur
1980,"Banque mondiale (1993) : cotisations de pension ÷ 12 % ; pensions versées, prestations familiales des pensionnés comprises ; sans raccord avec 2000",8.43,12.0,-3.57,45.12,18.69,58.6,129.9,29.3,347.5,41670,223000,,,,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88"
1985,"Banque mondiale (1993) : cotisations de pension ÷ 12 % ; pensions versées, prestations familiales des pensionnés comprises ; sans raccord avec 2000",9.91,12.0,-2.09,62.31,15.91,94.0,150.8,64.5,650.8,57210,359680,,,,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88"
1986,"Banque mondiale (1993) : cotisations de pension ÷ 12 % ; pensions versées, prestations familiales des pensionnés comprises ; sans raccord avec 2000",10.29,12.0,-1.71,60.45,17.03,108.6,179.7,82.1,797.5,62980,369810,,,,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88"
1987,"Banque mondiale (1993) : cotisations de pension ÷ 12 % ; pensions versées, prestations familiales des pensionnés comprises ; sans raccord avec 2000",11.42,12.0,-0.58,63.22,18.06,114.7,181.4,94.5,827.5,68680,380230,,,,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88"
1988,"Banque mondiale (1993) : cotisations de pension ÷ 12 % ; pensions versées, prestations familiales des pensionnés comprises ; sans raccord avec 2000",12.2,12.0,0.2,64.78,18.83,130.2,200.9,116.2,952.5,74390,395020,,,,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88"
1989,"Banque mondiale (1993) : cotisations de pension ÷ 12 % ; pensions versées, prestations familiales des pensionnés comprises ; sans raccord avec 2000",12.22,12.0,0.22,63.32,19.3,145.1,229.2,137.4,1124.2,78890,408680,,,,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88"
1990,"Banque mondiale (1993) : cotisations de pension ÷ 12 % ; pensions versées, prestations familiales des pensionnés comprises ; sans raccord avec 2000",12.05,12.0,0.05,61.26,19.67,152.4,248.8,152.7,1267.5,83510,424630,,,1.02,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88"
1991,"Banque mondiale (1993) : cotisations de pension ÷ 12 % ; pensions versées, prestations familiales des pensionnés comprises ; sans raccord avec 2000",12.56,12.0,0.56,62.36,20.14,167.0,267.8,176.9,1408.3,88280,438240,,,1.0,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88"
2000,masse salariale de l'État (approximation),17.11,14.2,2.91,58.24,29.38,286.9,492.5,537.4,3141.0,156126,531449,,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
2001,masse salariale de l'État (approximation),17.28,14.2,3.08,57.06,30.28,300.4,526.6,591.8,3424.8,164133,541992,,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
