# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-23
# séries (tunisia_data) : cnrps-taux-equilibre
# sources (citation) : @cnrps-guides-rapports, @cnrps-etats-financiers, @minfin-remunerations, @minfin-ep-2023, @minfin-ep-2024, @minfin-ep-2025
# fiches : sources/cnrps-publications.md
# méthode/hypothèses : SÉRIE CALCULÉE. DÉNOMINATEUR APPROCHÉ DE 2000 À 2013 : aucune source lue ne donne les cotisations seules avant 2014 ; la masse salariale de l'État (ministère des finances, « Rémunérations publiques ») en tient lieu. Sur 2014-2020, l'assiette tirée des cotisations vaut 0,997 ; 0,992 ; 1,009 ; 0,977 ; 0,974 ; 0,994 ; 0,952 fois cette masse, mais par compensation de périmètres, non par identité : la masse de l'État comprend les contributions patronales, les primes et les rappels, et exclut les collectivités locales et les établissements publics hors budget de l'État, affiliés à la caisse ; le taux employeur passant de 8,2 % à 12,5 % entre 2000 et 2013, rien n'assure que la compensation ait été stable avant 2014. BIAIS CHIFFRÉ EN 2010 : l'approximation donne un salaire moyen de 875,2 D par mois, quand la caisse publie 979,158 D de salaire brut moyen pour ses actifs (guide 2000-2010, p. 49, périmètre non précisé, 423 032 personnes), soit −10,6 % ; appliqué à tous les affiliés, le chiffre publié donnerait un taux d'équilibre de 22,1 % au lieu de 24,8 %. Rien n'est corrigé. Le ratio pensions / cotisants ne dépend pas du dénominateur ; seuls le taux de remplacement apparent et le taux d'équilibre portent l'approximation. 2019-2020 : cotisations RECONSTITUÉES (niveau 2018 + hausses publiées arrondies au million) ; 2020 cumule cette reconstitution et le plus faible recouvrement (0,952). PÉRIMÈTRES : le numérateur couvre l'ensemble des régimes de retraite (régime général, régimes spéciaux, retraites anticipées financées par l'État), seule série continue ; le dénominateur de 2014-2020 ne couvre que le régime général ; la variante de même périmètre (« taux d'équilibre, régime général seul ») est plus basse de 0,9 % (2015) à 2,6 % (2018) selon les années de 2014 à 2020. Le numérateur comprend de petites charges autres que des pensions : allocations familiales, confondues avec les pensions temporaires d'orphelins (1,7 à 2,0 % des dépenses en 2014-2018, borne haute), et remboursements de cotisations (0,01 %). Les effectifs comptent des PENSIONS, non des personnes, en fin d'année, rapportées à des dépenses annuelles. 2016 atypique : des primes spécifiques créées ou revalorisées ont ajouté plus de 110 millions de dinars de cotisations. Le taux d'équilibre est une grandeur comptable instantanée : il ne tient compte ni des autres recettes du régime (péréquation, bonification, rachats, contributions de l'État) ni des réserves. 2021-2023 : ESTIMATIONS, aucune publication de la caisse postérieure à 2020 n'ayant été trouvée. Numérateur = total des charges d'exploitation de la CAISSE ENTIÈRE (ministère des finances, rapport sur les entreprises publiques, LF 2025 ; 2023 provisoire) × part des dépenses du régime de retraite dans ce total, moyenne 2019-2020 (0,951 et 0,958) ; recoupé à 1,5 % près par les ratios charges/produits de la branche des pensions (ministère des affaires sociales), hors le 120,5 % « sans CSS » de 2022, qui contredit les comptes du ministère des finances (+7,4 %). Dénominateur = masse salariale de l'État × 0,952 (rapport de 2020) ; la variante indexée sur les recettes techniques de la caisse, écrite à part, donne 33,9 ; 32,6 ; 33,4 % contre 33,9 ; 33,3 ; 35,7 % : l'écart de 2023 (2,3 points) est la vraie marge d'incertitude, et les deux indexations, rétro-projetées sur 2016-2020, se trompent autant. Effectifs : bénéficiaires de pension et affiliés du ministère, égaux à ceux de la caisse en 2020 ; affiliés trouvés jusqu'en 2021 seulement dans les documents lus. Statut (exécution ou non) des masses salariales 2021-2023 non établi par la source. La pension moyenne implicite baisse de 2021 à 2022 (1 333 à 1 328 D), signe de la fragilité de l'estimation.
# note : CNRPS : décomposition du taux d'équilibre, indices base 100 en 2000, 2000-2021
Année,Dénominateur,Taux d'équilibre (2000 = 100),Remplacement apparent (2000 = 100),Pensions ÷ cotisants (2000 = 100)
2000,masse salariale de l'État (approximation),100.0,100.0,100.0
2001,masse salariale de l'État (approximation),101.0,98.0,103.1
2002,masse salariale de l'État (approximation),105.8,99.4,106.4
2003,masse salariale de l'État (approximation),108.6,97.7,111.2
2004,masse salariale de l'État (approximation),113.5,100.9,112.5
2005,masse salariale de l'État (approximation),117.4,99.9,117.4
2006,masse salariale de l'État (approximation),122.4,101.3,120.9
2007,masse salariale de l'État (approximation),127.6,106.6,119.7
2008,masse salariale de l'État (approximation),131.9,106.0,124.4
2009,masse salariale de l'État (approximation),135.2,105.2,128.6
2010,masse salariale de l'État (approximation),144.8,107.9,134.2
2011,masse salariale de l'État (approximation),146.6,108.8,134.7
2012,masse salariale de l'État (approximation),148.2,111.2,133.3
2013,masse salariale de l'État (approximation),150.8,114.3,131.9
2014,salaires déduits des cotisations publiées,150.6,108.7,138.5
2015,salaires déduits des cotisations publiées,158.8,109.4,145.1
2016,salaires déduits des cotisations publiées,160.8,107.5,149.6
2017,salaires déduits des cotisations publiées,178.2,114.1,156.2
2018,salaires déduits des cotisations publiées,193.3,113.7,170.0
2019,salaires déduits de cotisations reconstituées (niveau 2018 + hausses publiées),196.9,112.5,175.0
2020,salaires déduits de cotisations reconstituées (niveau 2018 + hausses publiées),189.4,108.4,174.7
2021,estimation : dépenses tirées des charges de la caisse entière × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,198.3,110.6,179.2
